Year;Month;Pr;
2015;5;48,7;
2015;6;27,6;
2015;7;59;
2015;8;119,9;
2015;9;50,7;
2015;10;59,6;
2015;11;29,4;
2015;12;51;
2016;1;3,9;
2016;2;33,8;
2016;3;22;
2016;4;26,2;
2016;5;34,3;
2016;6;11,7;
2016;7;25,4;
2016;8;92,4;
2016;9;20,2;
2016;10;13,7;
2016;11;53;
2016;12;44,5;
2017;1;31,8;
2017;2;19,9;
2017;3;24,7;
2017;4;31;
2017;5;52,5;
2017;6;73,1;
2017;7;35,9;
2017;8;71,1;
2017;9;80;
2017;10;33;
2017;11;53,2;
2017;12;54,1;
2018;1;25,2;
2018;2;16,1;
2018;3;39,1;
2018;4;27,3;
2018;5;29,7;
2018;6;18,9;
2018;7;23,5;
2018;8;81,8;
2018;9;64,8;
2018;10;60,7;
2018;11;32,5;
2018;12;34,4;
2019;1;38,5;
2019;2;20,5;
2019;3;27,6;
2019;4;39;
2019;5;69,1;
2019;6;96,2;
2019;7;81,7;
2019;8;54,7;
2019;9;48,5;
2019;10;64,3;
2019;11;38,3;
2019;12;46,4;
2020;1;47;
2020;2;29,3;
2020;3;69;
2020;4;9;
2020;5;52,9;
2020;6;102,1;
2020;7;69,1;
2020;8;80,2;
2020;9;67,2;
2020;10;92,4;
2020;11;45,6;
2020;12;29,2;
2021;1;26,9;
2021;2;33,1;
2021;3;36,8;
2021;4;25,2;
2021;5;60,7;
2021;6;109,8;
2021;7;51,1;
2021;8;67,6;
2021;9;85,2;
2021;10;58,6;
2021;11;76,8;
2021;12;29,6;
2022;1;31,8;
2022;2;29,2;
2022;3;41,7;
2022;4;38,9;
2022;5;32;
2022;6;94,9;
2022;7;64;
2022;8;68,7;
2022;9;70,3;
2022;10;37,2;
2022;11;22,3;
2022;12;27,5;
2023;1;38,9;
2023;2;25,7;
2023;3;53,7;
2023;4;35,7;
2023;5;10,5;
2023;6;21,4;
